n_updates,ep_len_mean,value_loss,time_elapsed,total_timesteps,clipfrac,serial_timesteps,ep_reward_mean,true_reward,policy_loss,policy_entropy,fps,explained_variance,approxkl
1045,31.14,3.3148885,964.1660053730011,26125000,0.0552,261250,0.7780160136393988,-1.8709776,-0.002528768,2.4046035,53949,0.9433072991669178,0.0047367853
1046,25.3,2.7391675,965.0237963199615,26150000,0.063964,261500,0.6030261161529689,-1.953765,-0.003581882,2.4052484,53974,0.9453011341392994,0.0053917198
1047,31.67,2.8918312,965.8707590103149,26175000,0.07409199,261750,0.620999143318113,-2.0058122,-0.0047447286,2.4056225,53621,0.9508164003491402,0.0059867227
1048,30.69,2.8629513,966.7214183807373,26200000,0.069896,262000,0.5037267482361858,-1.9948395,-0.003951985,2.4055483,55288,0.9434593766927719,0.0058055883
1049,35.45,2.9837115,967.5618097782135,26225000,0.061295997,262250,0.8840489993025039,-1.9317353,-0.004801736,2.4006567,39664,0.9398365132510662,0.0050783586
1050,30.84,3.3835301,968.57231092453,26250000,0.048543997,262500,0.3507320649448593,-2.0338545,-0.0033729828,2.3946655,43193,0.9378926306962967,0.004389371
1051,31.95,3.8148465,969.539158821106,26275000,0.047776,262750,0.3830080938933315,-1.9355925,-0.0034096371,2.388411,53307,0.9274819642305374,0.004338332
1052,36.22,2.9401355,970.3884267807007,26300000,0.039436,263000,0.8775790363965279,-1.9433239,-0.0025733178,2.3837683,42581,0.9413417354226112,0.0036216485
1053,26.78,2.7411776,971.3619077205658,26325000,0.050728004,263250,0.5835629839161629,-1.9892722,-0.0039205304,2.3811502,54083,0.9421054013073444,0.004447147
1054,26.7,3.2793229,972.2041811943054,26350000,0.058824003,263500,0.7832875423978203,-1.900382,-0.003695575,2.379607,54261,0.9343522489070892,0.005037585
1055,31.84,3.6582036,973.0416238307953,26375000,0.049736,263750,0.48473135567423015,-1.8570986,-0.0018569162,2.3768833,53858,0.9372848570346832,0.004388312
1056,29.46,3.2469692,973.8861284255981,26400000,0.050716,264000,0.5504350043294016,-1.9214478,-0.0039473036,2.3764217,54459,0.9397728778421879,0.0044831363
1057,31.04,3.4205234,974.7281067371368,26425000,0.041116003,264250,0.6079013611788605,-1.9414132,-0.0035970523,2.3743472,33313,0.931737519800663,0.0038865462
1058,28.96,2.9877524,975.8652384281158,26450000,0.053315997,264500,0.38128772138205025,-1.9032056,-0.003695557,2.3697085,54080,0.9400513283908367,0.0046265917
1059,26.01,3.6519325,976.7125353813171,26475000,0.047552,264750,0.7109889602706698,-2.081441,-0.0025664796,2.3666024,26659,0.9244401901960373,0.0042045554
1060,23.01,2.7584832,978.0337314605713,26500000,0.045232,265000,0.5331455557338449,-2.080164,-0.0031941806,2.3691783,41180,0.9428885541856289,0.0041178605
1061,37.53,3.2251365,979.0318167209625,26525000,0.049468,265250,0.9033699607023118,-1.9111203,-0.0033955586,2.3730512,41492,0.9383667260408401,0.0044671916
1062,28.09,2.6866515,980.013512134552,26550000,0.078843996,265500,0.7206991601679965,-2.0128849,-0.003908017,2.3665164,54845,0.9409817457199097,0.006393568
