n_updates,fps,ep_reward_mean,total_timesteps,true_reward,policy_entropy,ep_len_mean,clipfrac,time_elapsed,approxkl,explained_variance,value_loss,serial_timesteps,policy_loss
104,53202,8.780367989755213,2600000,0.04256768,-2.5201993,209.47,0.10212799,91.16755199432373,0.0077559864,0.9826117735356092,0.014094984,26000,-0.0027274727
105,56515,9.006882373860172,2625000,0.041314308,-2.5244794,220.12,0.271264,91.99291610717773,0.024449471,0.9836815278977156,0.012677829,26250,0.006623735
106,54740,8.422011551449977,2650000,0.042328876,-2.5251234,201.83,0.272312,92.79748511314392,0.029997334,0.9857385409995914,0.011783513,26500,0.010234905
107,52687,9.208324766590012,2675000,0.041860983,-2.5258346,220.74,0.126308,93.6065673828125,0.00974003,0.9878598498180509,0.009454909,26750,-0.0010367158
108,55897,8.762220706530401,2700000,0.04237457,-2.5297892,208.63,0.18393199,94.43805432319641,0.0134780165,0.9887575898319483,0.0091446815,27000,0.001461772
109,56234,8.17850470266305,2725000,0.041381035,-2.5334282,201.99,0.150104,95.23381400108337,0.011151582,0.9835465606302023,0.013886298,27250,0.00033629354
110,56050,9.524888206166105,2750000,0.04329896,-2.5335782,221.36,0.107804,96.03949332237244,0.008224925,0.9905516123399138,0.00528209,27500,-0.0026102632
111,54625,9.051899528485373,2775000,0.043142837,-2.5348191,211.75,0.204236,96.84310698509216,0.015877448,0.982832495123148,0.0124634355,27750,0.002027119
112,46693,8.12987128971734,2800000,0.040846583,-2.536026,199.29,0.128884,97.67671275138855,0.009742159,0.9849341940134764,0.014115043,28000,-0.0017182234
113,54975,9.402111673300897,2825000,0.043497838,-2.535853,215.02,0.168824,98.5647337436676,0.012021438,0.987667353823781,0.009919435,28250,0.0008571736
114,55579,8.863634120316453,2850000,0.042539146,-2.5339816,209.04,0.25936002,99.38472175598145,0.0210274,0.9893104862421751,0.00895373,28500,0.005783255
