serial_timesteps,ep_reward_mean,time_elapsed,approxkl,explained_variance,clipfrac,ep_len_mean,fps,n_updates,true_reward,value_loss,policy_entropy,policy_loss,total_timesteps
30750,18.1414642461415,7307.419422864914,0.005065108,0.6297522783279419,0.061959993,222.53,71214,123,0.08117865,0.25123554,4.948697,-0.0026137796,3075000
31000,17.67164408757184,7308.15140247345,0.0051753437,0.6714156866073608,0.061764,225.23,70757,124,0.07892412,0.23751564,4.944278,-0.002405299,3100000
31250,17.983709070457625,7308.90048122406,0.0042857453,0.6622500419616699,0.048948,226.61,72289,125,0.07980726,0.23900707,4.941303,-0.0027004927,3125000
31500,18.473824460148897,7309.637083768845,0.004619923,0.5330755710601807,0.053012002,224.4,68904,126,0.081049494,0.35218424,4.940355,-0.0024966109,3150000
31750,16.535464944248762,7310.4062259197235,0.0044537103,0.6221246123313904,0.051064003,214.73,71346,127,0.07762563,0.34977436,4.936594,-0.0024136542,3175000
32000,17.431178470095382,7311.15825343132,0.004498498,0.5557772815227509,0.049764,207.48,67645,128,0.08377137,0.37572402,4.9298153,-0.0019365458,3200000
32250,18.969177479743866,7311.939123868942,0.0047204816,0.5890294909477234,0.056168,226.33,67211,129,0.082885616,0.28371543,4.9236116,-0.0024445404,3225000
32500,18.729954729746296,7312.724687576294,0.003944536,0.5891668200492859,0.042340003,230.69,69122,130,0.080608845,0.2603674,4.9189644,-0.0024178852,3250000
32750,18.82048054025123,7313.497585535049,0.0029387604,0.6473122835159302,0.026271999,233.47,67273,131,0.08070054,0.2320795,4.9144654,-0.0017581182,3275000
33000,19.489020125519563,7314.269212961197,0.0057112677,0.6038497686386108,0.07117599,231.22,69155,132,0.083777815,0.26223937,4.9114985,-0.002402811,3300000
33250,18.430403666573785,7315.052089214325,0.004199983,0.6445156633853912,0.046627995,221.22,67233,133,0.08285996,0.28309527,4.9073915,-0.0024633722,3325000
33500,17.49118606584807,7315.841373682022,0.0039019124,0.48617321252822876,0.039944004,211.54,67295,134,0.08255464,0.4348684,4.8994856,-0.0018988313,3350000
33750,18.09951499045881,7316.637717962265,0.0039010192,0.5819497406482697,0.042652,217.78,70480,135,0.08253195,0.34219483,4.891954,-0.0022658985,3375000
34000,18.992646960042183,7317.39030957222,0.0039440775,0.5897006988525391,0.044816,226.3,69350,136,0.08358679,0.3062976,4.8861084,-0.0025804627,3400000
34250,19.142575047071006,7318.166903018951,0.005124145,0.6595485508441925,0.062380005,227.58,68214,137,0.08388708,0.25288758,4.8815126,-0.0022059786,3425000
34500,16.647493350246318,7318.931029558182,0.0054412005,0.4574671983718872,0.06736,205.95,70731,138,0.07948918,0.5353967,4.876759,-0.0017932564,3450000
34750,18.09149280069286,7319.693475961685,0.0062717968,0.46411722898483276,0.082528,218.57,68429,139,0.08164045,0.4379015,4.8737464,-0.0022259862,3475000
35000,19.346848711400927,7320.4716420173645,0.004293971,0.5613313019275665,0.047468,231.09,63150,140,0.082441054,0.28041273,4.872136,-0.0021945317,3500000
35250,19.784677314029363,7321.301816225052,0.0043082573,0.6137733459472656,0.04656,235.55,62566,141,0.08336622,0.19177367,4.869874,-0.002277154,3525000
35500,19.655000639916615,7322.106126785278,0.004344112,0.5599671602249146,0.048008,232.55,67728,142,0.08417106,0.22817715,4.8675656,-0.0020334849,3550000
35750,19.270417140075043,7322.8869614601135,0.004270074,0.664349377155304,0.047288,231.1,68478,143,0.08339433,0.21602933,4.864232,-0.0022589653,3575000
36000,19.311729566676913,7323.6749448776245,0.0038841057,0.6217740476131439,0.040336,232.73,50061,144,0.0821785,0.25034338,4.861461,-0.0022057625,3600000
36250,19.513296433796622,7324.601465463638,0.0046373876,0.6790369153022766,0.052339993,236.51,56956,145,0.08224193,0.18110529,4.8566003,-0.0025486187,3625000
36500,19.70033094156408,7325.511312007904,0.0057159592,0.616023451089859,0.068948,235.38,51284,146,0.08359386,0.21265945,4.8482065,-0.0025513642,3650000
