value_loss,policy_entropy,policy_loss,serial_timesteps,ep_len_mean,fps,n_updates,time_elapsed,approxkl,total_timesteps,explained_variance,clipfrac,true_reward,ep_reward_mean
0.059452992,4.947503,-0.0018031072,36250,85.58,53455,145,133.61580777168274,0.0024926811,3625000,0.9574961625039577,0.020296002,0.0042391606,1.8889956135729882
0.047171257,4.9436693,-0.0022549112,36500,91.14,54014,146,134.5165057182312,0.003458485,3650000,0.9652363061904907,0.034740005,0.003020491,1.8108990536013017
0.049156558,4.94463,-0.0018968899,36750,79.31,55111,147,135.39984273910522,0.0027296578,3675000,0.962986633181572,0.023319999,0.0047718706,1.878956472098871
0.048401866,4.945714,-0.0019169817,37000,81.63,51084,148,136.27338647842407,0.0026843506,3700000,0.9628343693912029,0.020888,0.0013859806,1.6594784384419063
0.0557682,4.941676,-0.0020302762,37250,80.3,53400,149,137.2005650997162,0.0030189997,3725000,0.958096269518137,0.026692,0.003595696,1.838004777573242
0.046377458,4.935828,-0.0020092526,37500,83.2,52950,150,138.09068250656128,0.003704992,3750000,0.9640114568173885,0.036663998,0.0019024432,1.7388286072273695
0.046009168,4.9320025,-0.001857476,37750,84.85,54199,151,138.97756004333496,0.0034733317,3775000,0.9639578014612198,0.032264,0.0049961293,2.000294891878966
0.038422875,4.9276667,-0.0015157392,38000,84.7,56722,152,139.85786890983582,0.0026068692,3800000,0.9728772416710854,0.017059999,0.0048848027,1.811133894672239
0.041946,4.921908,-0.0022899504,38250,77.74,56218,153,140.71251940727234,0.0034749233,3825000,0.9698005989193916,0.031132001,0.0057560266,1.7656656371302233
0.046934266,4.9186163,-0.0014242895,38500,78.26,55256,154,141.56651735305786,0.0029754606,3850000,0.967673521488905,0.021412002,0.0032736664,1.7342090635371823
0.04540021,4.9150314,-0.002107549,38750,85.23,53495,155,142.43274545669556,0.0027341722,3875000,0.9669240154325962,0.023048,0.005172883,1.8206484620396441
0.049356867,4.914104,-0.0020652353,39000,84.53,54739,156,143.31333661079407,0.003273616,3900000,0.9631639942526817,0.035356,0.005500937,1.8171260561133034
0.057605308,4.9098196,-0.0019086612,39250,72.73,55967,157,144.18280386924744,0.0029126005,3925000,0.958611398935318,0.022999998,0.0024037482,1.597986369641494
0.039302357,4.905686,-0.002001549,39500,85.0,56202,158,145.06560850143433,0.003398378,3950000,0.9727928470820189,0.030879999,0.006737697,2.134103860287114
0.052730065,4.895107,-0.0020482237,39750,77.05,55980,159,145.9164571762085,0.0031241463,3975000,0.9613293036818504,0.031107998,0.003482832,1.5791876007119527
0.048195813,4.8838897,-0.002123532,40000,82.37,56157,160,146.77769303321838,0.0035288646,4000000,0.9655717760324478,0.033988,0.004112102,1.5168914313376762
0.04674595,4.87575,-0.0016884437,40250,75.95,55324,161,147.63398385047913,0.0027119035,4025000,0.9660815484821796,0.02448,0.0024605389,1.470020956348053
0.042949792,4.8695707,-0.0021241135,40500,77.08,56110,162,148.49648547172546,0.0029258358,4050000,0.9693515468388796,0.025044,0.0035940341,1.5838137474894984
0.044160984,4.8640566,-0.0021907163,40750,82.58,57028,163,149.35518503189087,0.003505361,4075000,0.9677247479557991,0.032199997,0.0061834375,1.79818070977572
0.045683883,4.862771,-0.0021394212,41000,75.11,55587,164,150.20270252227783,0.0031869698,4100000,0.9677204005420208,0.027908001,0.0058337175,1.6466197364218351
0.0419564,4.8602805,-0.0022405856,41250,84.65,54107,165,151.06117725372314,0.0038103226,4125000,0.9696169700473547,0.039116003,0.0050373334,1.8104730780406226
0.03898851,4.856069,-0.0024812766,41500,73.99,55891,166,151.93905544281006,0.0031091864,4150000,0.9707794040441513,0.029272,0.0059116534,1.7101315150535787
0.047054563,4.8502913,-0.0022976068,41750,85.94,52243,167,152.79442358016968,0.0038627232,4175000,0.9662742577493191,0.038503997,0.0052406588,1.8413808519761097
