value_loss,time_elapsed,explained_variance,clipfrac,fps,ep_len_mean,true_reward,ep_reward_mean,total_timesteps,approxkl,serial_timesteps,policy_entropy,n_updates,policy_loss
0.055226453,19.997987508773804,0.8864940032362938,0.17080002,2454,17.14,0.08075166,1.4443110547959805,32500,0.01182981,32500,5.062323,130,-0.009529829
0.04851209,20.123634099960327,0.9021450653672218,0.30879998,2407,17.14,0.08875801,1.4443901459872723,32750,0.027353266,32750,5.058023,131,-0.013899557
0.11664502,20.251630783081055,0.7617773711681366,0.24759999,2445,17.14,0.080868416,1.4444374336302281,33000,0.018558575,33000,5.05795,132,-0.01279634
0.067304604,20.378101348876953,0.8621058315038681,0.25800002,2394,17.14,0.08874845,1.4444501616060734,33250,0.021152113,33250,5.0589247,133,-0.012445431
0.068295635,20.50590229034424,0.8639056235551834,0.40440002,2363,17.14,0.088752426,1.4444681107997894,33500,0.05863855,33500,5.0593762,134,-0.01950315
0.17228273,20.63546133041382,0.6789133548736572,0.20799999,2403,16.3,0.04094832,1.2827055883407592,33750,0.018437702,33750,5.055828,135,-0.020250782
0.10196982,20.763781309127808,0.7939787358045578,0.2268,2385,16.42,0.08881504,1.3059625709056855,34000,0.017343909,34000,5.052986,136,-0.018580034
0.060916565,20.89227533340454,0.8760066106915474,0.336,2443,16.6,0.08875232,1.3406507121026516,34250,0.031905852,34250,5.0492835,137,-0.011741648
0.1993174,21.01782727241516,0.6254872679710388,0.17199998,2481,15.86,0.04890008,1.1982092437148095,34500,0.014394592,34500,5.044925,138,-0.018083483
0.061640132,21.142578601837158,0.8713858127593994,0.26439998,2473,15.7,0.08078633,1.1673821499943733,34750,0.021889402,34750,5.038968,139,-0.019266019
0.09497229,21.267148733139038,0.8155175000429153,0.2796,2437,15.52,0.08085855,1.1329450079798697,35000,0.022596046,35000,5.03446,140,-0.013273982
0.10557431,21.393221855163574,0.7868640571832657,0.21639998,2389,15.79,0.057047043,1.1854937432706356,35250,0.018713504,35250,5.0306025,141,-0.020944724
0.122948684,21.521522521972656,0.7459287047386169,0.1992,2472,15.69,0.08091046,1.1662671633064747,35500,0.014944804,35500,5.0265365,142,-0.012762727
0.07015986,21.647136688232422,0.859575480222702,0.23439999,2459,15.7,0.0887586,1.1681392514705657,35750,0.017592661,35750,5.0234237,143,-0.012011941
0.08497907,21.772666454315186,0.8327518403530121,0.28800002,2458,15.83,0.08083215,1.1932557351887225,36000,0.027582098,36000,5.022435,144,-0.013776004
0.11812695,21.897825002670288,0.770222395658493,0.26959997,2413,16.06,0.07293375,1.237811691015959,36250,0.022438455,36250,5.023584,145,-0.01904114
0.041382257,22.02495574951172,0.9155578464269638,0.17920001,2449,16.24,0.088749774,1.27241308093071,36500,0.013153294,36500,5.0240126,146,-0.00856555
0.098250926,22.15066409111023,0.8055322468280792,0.2488,2411,16.53,0.08083067,1.3278904201090336,36750,0.01935202,36750,5.023366,147,-0.015875021
0.09378359,22.27911615371704,0.8114925771951675,0.28640002,2312,16.78,0.08082441,1.37584872469306,37000,0.02117676,37000,5.0206122,148,-0.01806173
0.036876336,22.411470651626587,0.9244190081954002,0.324,2293,16.96,0.08873724,1.4100868387520313,37250,0.03239881,37250,5.0182705,149,-0.014862466
0.1652619,22.545482635498047,0.6964423656463623,0.19240001,2214,16.3,0.056854635,1.2829733534157277,37500,0.014351706,37500,5.0167165,150,-0.015008548
0.09208906,22.683594226837158,0.8054183423519135,0.36480004,2308,16.31,0.08090422,1.285067404061556,37750,0.04034228,37750,5.013395,151,-0.013962354
0.04218785,22.816656827926636,0.9108548536896706,0.24239998,2326,16.6,0.08874608,1.3406643156707287,38000,0.021001227,38000,5.010831,152,-0.01387555
0.051827393,22.94878911972046,0.8949216604232788,0.2772,2329,16.73,0.08874851,1.3656111712753773,38250,0.020450527,38250,5.009223,153,-0.01191918
0.04631053,23.080453634262085,0.9077270403504372,0.2576,2314,16.78,0.08874079,1.375150518119335,38500,0.016754592,38500,5.0096893,154,-0.0026202803
0.076092295,23.212897300720215,0.8449847549200058,0.37120003,2334,16.78,0.0808425,1.375188059657812,38750,0.046087295,38750,5.008892,155,-0.017162051
0.033038355,23.3440363407135,0.9337522312998772,0.2272,2430,16.76,0.08874592,1.3713106030225755,39000,0.017588507,39000,5.0107436,156,-0.009386392
0.1126978,23.47145128250122,0.7671493589878082,0.2128,2308,16.96,0.06478905,1.4097207400202751,39250,0.015527097,39250,5.014192,157,-0.020718573
0.0490623,23.604792833328247,0.8993380814790726,0.38040003,2333,16.78,0.072797224,1.3747801539301872,39500,0.04005835,39500,5.014537,158,-0.016730621
0.04514829,23.73603892326355,0.9079316034913063,0.1976,2336,16.78,0.088735,1.3747550816833973,39750,0.0130869625,39750,5.013802,159,-0.0039311154
0.03740466,23.866922855377197,0.9226651787757874,0.1616,2440,16.78,0.0887366,1.3747218157351018,40000,0.011688561,40000,5.0135856,160,-0.01127651
0.08702649,23.99447774887085,0.8276500105857849,0.41640002,2342,16.69,0.08083671,1.3574388243258,40250,0.05401774,40250,5.0116324,161,-0.013051477
