fps,value_loss,policy_entropy,total_timesteps,time_elapsed,clipfrac,ep_reward_mean,policy_loss,ep_len_mean,true_reward,serial_timesteps,approxkl,explained_variance,n_updates
56657,0.0020834978,0.71606445,3825000,128.53008365631104,0.057416,19.022394982025652,-0.0014168795,250.0,0.07608958,38250,0.005129977,0.9898701338097453,153
57596,0.0024526115,0.7081865,3850000,129.32574319839478,0.047228,19.063724097424057,-0.0024261088,250.0,0.076254904,38500,0.0045247586,0.9875970659777522,154
57044,0.0021445514,0.69769126,3875000,130.1354660987854,0.047523998,18.993216201337056,-0.0029518518,250.0,0.07597286,38750,0.004556512,0.9899440305307508,155
53451,0.027256405,0.6855051,3900000,130.92776727676392,0.093912005,19.15552750680159,-0.0025806532,247.67,0.07676823,39000,0.0074050715,0.9133151695132256,156
58445,0.0011819057,0.6752873,3925000,131.75041604042053,0.042303998,19.355954885181273,-0.0018610323,250.0,0.07742382,39250,0.0041405004,0.993477264419198,157
57739,0.028925115,0.6644808,3950000,132.5425238609314,0.09512399,19.12129456446186,-0.0012378544,247.5,0.07665088,39500,0.007547858,0.9191990494728088,158
56491,0.0016182732,0.65694064,3975000,133.31736612319946,0.035452,19.046066181954302,-0.0022564644,250.0,0.07618427,39750,0.0039117886,0.9922423576936126,159
58127,0.0012599295,0.64822495,4000000,134.13583207130432,0.060576,19.41172873618547,-0.0009555827,250.0,0.07764692,40000,0.0052001327,0.9924181196838617,160
52774,0.001066523,0.6383285,4025000,134.93318462371826,0.085892,19.442777921641245,0.00035519796,250.0,0.077771105,40250,0.0067188605,0.993377030827105,161
58801,0.0013534272,0.62866867,4050000,135.7463457584381,0.0533,19.203119311605516,-0.0022393137,250.0,0.07681248,40500,0.004762887,0.9928493099287152,162
55942,0.0012614508,0.61867416,4075000,136.53552556037903,0.079592004,19.220733874048094,-0.00030533114,250.0,0.076882936,40750,0.006477212,0.9937662803567946,163
58569,0.0010635074,0.6087488,4100000,137.3217372894287,0.046296,19.31040914726298,-0.0020905423,250.0,0.07724164,41000,0.004550228,0.9942466169595718,164
57252,0.0018011216,0.5981665,4125000,138.10513353347778,0.06682,19.07058044881618,-0.0014933462,250.0,0.07628232,41250,0.005521811,0.9911722652614117,165
57838,0.028017065,0.5907789,4150000,138.89431476593018,0.069291994,18.92594605451146,-0.001804521,247.79,0.075833365,41500,0.0058305776,0.9300724640488625,166
57347,0.0017255584,0.5850642,4175000,139.67550921440125,0.062952,19.101030484703806,-0.0008116307,250.0,0.076404124,41750,0.005437701,0.9929809346795082,167
58338,0.0016798961,0.5777911,4200000,140.459721326828,0.048008002,19.24720203184319,-0.0014008967,250.0,0.07698881,42000,0.004591697,0.9918348100036383,168
56553,0.0027881076,0.56970394,4225000,141.24114155769348,0.070099995,19.136763618014665,-0.0008748332,250.0,0.07654705,42250,0.005828113,0.986328317783773,169
54396,0.0017769005,0.56235284,4250000,142.06595182418823,0.09818,19.251810873509967,-0.0006462929,250.0,0.07700725,42500,0.007551192,0.9901986392214894,170
