policy_loss,explained_variance,time_elapsed,ep_reward_mean,fps,serial_timesteps,total_timesteps,approxkl,ep_len_mean,value_loss,n_updates,clipfrac,true_reward,policy_entropy
-0.0017683363,0.8577459752559662,295.4700217247009,16.685848829341413,67450,93250,9325000,0.006270291,245.2,0.029457342,373,0.07978,0.067853816,2.8785722
-0.0021932207,0.8661321699619293,296.2135684490204,16.67498978850499,65171,93500,9350000,0.0077094706,246.51,0.022106597,374,0.10502,0.06747588,2.877913
-0.0009920986,0.9070193991065025,297.0244925022125,16.932841905274763,66843,93750,9375000,0.0056184004,248.21,0.012206798,375,0.068864,0.06814942,2.8758335
-0.002669345,0.7603273093700409,297.81536769866943,16.458326302262723,67268,94000,9400000,0.0076649757,243.28,0.047139116,376,0.109267995,0.06743344,2.8730898
-0.0018995202,0.8730425089597702,298.58431124687195,16.62420074428981,67640,94250,9425000,0.005534922,245.46,0.02534475,377,0.067991994,0.06760247,2.8728204
-0.0016253132,0.8664776980876923,299.33525705337524,16.256321453571147,64287,94500,9450000,0.0053468077,240.34,0.03523247,378,0.064844,0.06755303,2.8653998
-0.0019440629,0.93736332654953,300.1251094341278,16.774384395681846,67412,94750,9475000,0.005116916,246.62,0.010911732,379,0.0582,0.067985065,2.856731
-0.0016866794,0.785766988992691,300.8745596408844,16.483075992350933,64441,95000,9500000,0.0062167263,240.83,0.053157657,380,0.079324,0.06814745,2.8453135
-0.0019251353,0.7737454175949097,301.6589012145996,16.406014935073618,63886,95250,9525000,0.0061329687,240.55,0.058905017,381,0.07811999,0.06782397,2.835258
-0.0022253613,0.6785044372081757,302.4530119895935,16.32394722619385,64397,95500,9550000,0.0068318956,236.54,0.07809755,382,0.090984,0.068614095,2.8290122
-0.0023283898,0.8154804557561874,303.23334097862244,16.660338887075557,68232,95750,9575000,0.0058234334,243.69,0.044131946,383,0.072816,0.068139665,2.8280318
-0.0022160732,0.8265233486890793,304.00229120254517,16.390307870592224,64558,96000,9600000,0.0049730157,240.8,0.046534125,384,0.057919998,0.06785229,2.8269057
-0.00221346,0.7436350286006927,304.82784128189087,16.246888511259314,62948,96250,9625000,0.007385415,237.66,0.059435576,385,0.095664,0.06818364,2.8261483
-0.0023841525,0.8019731640815735,305.6159791946411,16.494452304121225,64099,96500,9650000,0.007130725,243.24,0.0456105,386,0.094052,0.06766065,2.8259876
-0.0012226369,0.6587023138999939,306.39565682411194,16.129060009693276,67195,96750,9675000,0.0060845907,236.26,0.084219,387,0.076596,0.06797788,2.828874
-0.0019393445,0.661812961101532,307.1438271999359,16.09768883261444,65954,97000,9700000,0.0062283375,237.89,0.08387445,388,0.080512,0.06725677,2.8307285
-0.0023749755,0.7886414378881454,307.90820693969727,16.270750508732746,68253,97250,9725000,0.0073997118,243.49,0.04300589,389,0.101912,0.066657834,2.8250556
-0.00085513416,0.793942466378212,308.65797233581543,16.774701357378508,66368,97500,9750000,0.008517842,244.83,0.034706168,390,0.11567201,0.06833322,2.8232198
-0.0016772287,0.8988725319504738,309.40509366989136,16.816640188308085,67351,97750,9775000,0.0044085663,247.57,0.01345426,391,0.048392,0.06797006,2.8241382
-0.0015398867,0.8911449015140533,310.16022777557373,16.853205488348905,65779,98000,9800000,0.004497881,248.79,0.015665647,392,0.049912,0.067703456,2.827239
-0.001963009,0.8057743608951569,310.9528114795685,16.536079274286276,65251,98250,9825000,0.006043141,242.95,0.03671667,393,0.076547995,0.06791966,2.8308816
-0.0012026906,0.8117611557245255,311.758531332016,16.260644992546514,66656,98500,9850000,0.0072017973,240.53,0.038102776,394,0.095376,0.06737231,2.8310475
-0.0017636623,0.8348369151353836,312.53895568847656,16.883680752373476,63908,98750,9875000,0.0040810136,246.25,0.027217984,395,0.043592002,0.06844683,2.8291917
-0.0020557637,0.7761524021625519,313.29756903648376,16.26659612022264,67542,99000,9900000,0.0053503313,238.37,0.0541794,396,0.066428006,0.06827171,2.8230085
-0.0020344716,0.6705261170864105,314.0443117618561,16.228436645818658,65410,99250,9925000,0.0061781565,239.02,0.07336029,397,0.078744,0.067679055,2.8175359
-0.0020338066,0.8371595442295074,314.8121166229248,16.505794075429147,61297,99500,9950000,0.0073301396,242.24,0.036450084,398,0.09429599,0.067822695,2.8152156
-0.0010523845,0.8894620910286903,315.6010501384735,16.531599120712198,64500,99750,9975000,0.0092990715,241.96,0.03117976,399,0.126416,0.06809563,2.8119044
-0.001412067,0.7547869980335236,316.3961353302002,16.123268742062187,68352,100000,10000000,0.0054518734,238.17,0.066831626,400,0.068547994,0.06741066,2.809238
-0.0017206129,0.8353215306997299,317.1444146633148,16.639115327123086,67954,100250,10025000,0.0043767416,244.54,0.032775216,401,0.050031997,0.06781236,2.8047156
-0.0012311197,0.9097253680229187,317.89097261428833,16.700083655044363,65585,100500,10050000,0.0070975856,247.72,0.016858887,402,0.09530799,0.06733745,2.8016105
-0.0020233311,0.848634198307991,318.6479811668396,16.66496467416,66151,100750,10075000,0.0075374297,243.84,0.03183751,403,0.10166001,0.06820427,2.798512
-0.0020228464,0.767987921833992,319.3966293334961,16.49194364876661,68205,101000,10100000,0.007817152,243.13,0.04993777,404,0.103552006,0.06756735,2.797262
-0.002404438,0.8227185010910034,320.16721963882446,16.360788621897445,64585,101250,10125000,0.0064346557,241.65,0.040305108,405,0.08332801,0.06756395,2.797443
-0.0014272316,0.8203202933073044,320.94296050071716,16.786975987299083,66420,101500,10150000,0.0062777447,246.43,0.028977295,406,0.076436,0.06809389,2.7994895
-0.0010618155,0.8135939538478851,321.70590233802795,16.412431990640563,58905,101750,10175000,0.0077909143,240.77,0.041063122,407,0.103444,0.06804616,2.7994955
-0.0012939044,0.8577115684747696,322.51439118385315,16.60194521267993,63721,102000,10200000,0.007149781,243.97,0.027328676,408,0.095312,0.06796796,2.7968764
-0.0012996481,0.8573023080825806,323.30607056617737,16.86129759996926,68103,102250,10225000,0.006345477,245.38,0.02797538,409,0.08224801,0.0686243,2.7915525
-0.0027634979,0.8656205236911774,324.0703167915344,16.642750585773612,65503,102500,10250000,0.0071090395,245.14,0.026321549,410,0.086968005,0.06774975,2.7877588
-0.002120987,0.9281367063522339,324.8233976364136,17.103612491043677,64759,102750,10275000,0.005134899,249.07,0.0087591335,411,0.06286801,0.06862373,2.7868612
-0.0020282222,0.8115217685699463,325.64217233657837,16.578999286615872,69108,103000,10300000,0.00742413,242.16,0.040800665,412,0.097288,0.068195835,2.78509
-0.0026194798,0.8237148523330688,326.40671944618225,16.90898759479227,69453,103250,10325000,0.0051736073,245.86,0.032662693,413,0.0641,0.0685691,2.7867932
-0.001791741,0.8709034025669098,327.1720037460327,16.732347582039655,63265,103500,10350000,0.0088804765,244.92,0.022889117,414,0.116763994,0.06832148,2.7874389
-0.0020195823,0.8209812343120575,327.97642612457275,16.756613286569774,69032,103750,10375000,0.0085813105,244.36,0.041878458,415,0.11774,0.068457864,2.7876878
-0.0008071751,0.6829169988632202,328.7105722427368,16.43912861619421,65287,104000,10400000,0.005310374,239.86,0.07186791,416,0.063116,0.06831467,2.7912626
-0.0013857888,0.7351295053958893,329.4933087825775,16.594400452745468,66845,104250,10425000,0.0055281213,240.98,0.06152895,417,0.067556,0.068568245,2.796764
-0.002136224,0.8616952449083328,330.26342582702637,16.666125985736436,66894,104500,10450000,0.0050534084,243.84,0.0290928,418,0.060160004,0.0682471,2.7983658
-0.0013158203,0.7101955115795135,331.0406002998352,16.37241694548713,65023,104750,10475000,0.0065794243,237.93,0.06546292,419,0.086675994,0.068478085,2.8003135
-0.0016195423,0.7641522586345673,331.7980136871338,16.30517699719576,69507,105000,10500000,0.004625608,238.49,0.06442131,420,0.055824,0.06807728,2.8035073
-0.0021512131,0.8084990531206131,332.5930790901184,16.489462346785587,68140,105250,10525000,0.0063092625,242.42,0.049203064,421,0.080368,0.06771007,2.8036294
-0.0010561576,0.8459254801273346,333.3362076282501,17.11486751894496,67997,105500,10550000,0.008852646,248.02,0.024961093,422,0.11164,0.068901934,2.799214
-0.0026065344,0.7792795300483704,334.0887920856476,16.588833308147585,67850,105750,10575000,0.009179559,242.93,0.0469827,423,0.114456,0.067892134,2.7978954
-0.001634252,0.8636091947555542,334.8398594856262,16.593850036222864,69566,106000,10600000,0.006623385,244.37,0.026467782,424,0.084068,0.067835964,2.7992523
-0.0015331445,0.8625900149345398,335.5983488559723,16.779932426229788,66628,106250,10625000,0.00519499,244.13,0.025009,425,0.061963998,0.068693034,2.8000846
-0.002405907,0.8181928545236588,336.3808934688568,16.904419916664146,62834,106500,10650000,0.007456238,245.28,0.02952233,426,0.09618801,0.068902016,2.7988715
-0.0022673067,0.7753669321537018,337.1620223522186,16.364244462311618,65152,106750,10675000,0.0071227485,238.45,0.065960005,427,0.09478,0.06839789,2.7989328
-0.0012191252,0.7307037115097046,337.94023752212524,16.569071718879567,68482,107000,10700000,0.010435835,241.34,0.049655996,428,0.14242,0.06861203,2.7998917
-0.00093371776,0.9136970937252045,338.6880078315735,17.21273045065733,68545,107250,10725000,0.008335394,248.95,0.0112816375,429,0.107563995,0.06910461,2.8008974
-0.0022212057,0.9467132054269314,339.43383955955505,17.066543315806193,69554,107500,10750000,0.00673424,246.79,0.011503717,430,0.085572004,0.069056965,2.7991793
-0.0015517817,0.8062568753957748,340.1856825351715,17.01186638516141,68877,107750,10775000,0.0051965956,245.04,0.033064894,431,0.062224,0.06934793,2.794147
-0.0013308593,0.8164636939764023,340.92413806915283,16.855048332152418,63770,108000,10800000,0.0055143656,245.19,0.039683294,432,0.067028,0.06850471,2.7886734
-0.0014244106,0.8443201035261154,341.6948754787445,16.938249753185936,66203,108250,10825000,0.0041319705,246.18,0.028444167,433,0.043132,0.06868109,2.7880294
-0.0019573933,0.859917163848877,342.49027490615845,16.949856423070887,66671,108500,10850000,0.0062322062,246.01,0.026432753,434,0.077312,0.068712294,2.7830343
