value_loss,ep_reward_mean,true_reward,clipfrac,total_timesteps,time_elapsed,policy_loss,ep_len_mean,serial_timesteps,policy_entropy,approxkl,explained_variance,n_updates,fps
1.8779663,24.432771134972572,0.1691784,0.162676,14175000,510.77776050567627,0.004161187,128.42,141750,3.8236916,0.01347149,0.8390015661716461,567,52304
2.0664992,25.407158087939024,0.17199317,0.28452402,14200000,511.65383863449097,0.015835278,133.42,142000,3.820416,0.03671683,0.8275414854288101,568,52646
1.8327402,23.536709853708743,0.1705881,0.22959201,14225000,512.543527841568,0.010493085,123.23,142250,3.8185787,0.024345633,0.8581814914941788,569,51689
1.5349882,28.544584253579377,0.17147897,0.34304398,14250000,513.397798538208,0.02316688,149.77,142500,3.817236,0.04594767,0.8831586763262749,570,53382
1.8892959,27.7316221126914,0.16996074,0.23666799,14275000,514.2556257247925,0.0103910975,145.69,142750,3.8163848,0.023508232,0.8559926003217697,571,53912
1.7357886,28.157693674266337,0.17048223,0.094092,14300000,515.1077766418457,0.0015196133,148.03,143000,3.8151348,0.007851146,0.8703942745923996,572,52159
1.6592083,30.873636755645276,0.17272848,0.082932,14325000,515.9685354232788,-0.00058324303,162.33,143250,3.8129718,0.007134279,0.8717789053916931,573,50280
1.7040479,30.534156110063194,0.17290832,0.164636,14350000,516.8919587135315,0.0031353831,160.51,143500,3.809417,0.01902641,0.8720733374357224,574,44699
1.7207403,29.570750809013845,0.17348553,0.07172,14375000,517.9011073112488,-0.0004234027,155.4,143750,3.8059826,0.006247122,0.8765852898359299,575,54047
1.5854925,32.687155723273754,0.1749809,0.15824,14400000,518.7586843967438,0.004808637,171.81,144000,3.8028083,0.013522619,0.8868773058056831,576,53711
1.523981,34.621584902405736,0.17296818,0.056803994,14425000,519.6132614612579,-0.00087789854,181.88,144250,3.7997043,0.005473242,0.9020954221487045,577,51993
1.4389269,38.08275804452598,0.1773864,0.07088,14450000,520.5015721321106,0.00019159369,199.63,144500,3.7968616,0.0061751422,0.8955194801092148,578,51936
1.4572824,36.41746889516711,0.17419851,0.052788,14475000,521.3608584403992,0.00027111752,191.96,144750,3.79271,0.004903614,0.9045847952365875,579,52293
1.483329,36.92679693967104,0.17782325,0.047072,14500000,522.2201964855194,1.9380706e-05,194.06,145000,3.7893226,0.0044344766,0.8888951316475868,580,53657
1.3263752,38.16960610955954,0.17785381,0.06142,14525000,523.0729486942291,3.5319732e-05,200.31,145250,3.7859356,0.00546822,0.9062629342079163,581,52861
1.3714646,38.297077044546604,0.17673148,0.093244,14550000,523.9209887981415,0.0005510937,200.59,145500,3.7829063,0.007483326,0.9043481349945068,582,53311
1.3794208,38.44277893103659,0.17778559,0.1386,14575000,524.7763538360596,0.0020318434,201.47,145750,3.778976,0.012336002,0.9061724990606308,583,52559
1.345948,40.120006323456764,0.17902254,0.050944008,14600000,525.6656365394592,-0.001565269,210.83,146000,3.7749336,0.0052537597,0.8968483433127403,584,52292
