value_loss,clipfrac,policy_entropy,explained_variance,serial_timesteps,ep_len_mean,n_updates,fps,policy_loss,true_reward,time_elapsed,total_timesteps,approxkl,ep_reward_mean
0.30215663,0.02896,4.3030653,0.9079100117087364,115750,240.56,463,54033,-0.0012304335,0.03007087,406.82704615592957,11575000,0.003019704,8.004922930752508
0.61166376,0.045367997,4.30136,0.8454586565494537,116000,231.67,464,52646,-0.0017143994,0.03278663,407.66414284706116,11600000,0.004080943,9.20759034929084
0.5281294,0.0284,4.3004446,0.8300627321004868,116250,234.01,465,53400,-0.001580645,0.026838338,408.52914929389954,11625000,0.0031930567,7.464713866710372
0.40790588,0.024596,4.2992053,0.8021990954875946,116500,250.0,466,53596,-0.0010281831,0.039347384,409.38876152038574,11650000,0.003030841,9.836845535999164
0.5803067,0.049188,4.300437,0.760194405913353,116750,243.88,467,54479,-0.002020081,0.03741509,410.25618982315063,11675000,0.004370554,9.63909590404015
0.44590798,0.052631997,4.3027472,0.8003088980913162,117000,241.25,468,54765,-0.0017043868,0.031569615,411.11082339286804,11700000,0.0045651915,8.43107482968364
0.9046807,0.061695993,4.302529,0.7578741908073425,117250,225.1,469,52832,-0.0013667991,0.028024932,411.97237515449524,11725000,0.005060123,8.148416340595578
0.5739395,0.065592,4.3002176,0.7256561517715454,117500,238.84,470,53887,-0.0011995523,0.028196247,412.8470547199249,11750000,0.0053648036,7.591375476134999
0.9414409,0.024952,4.296797,0.7059632837772369,117750,229.91,471,51096,-0.0010576679,0.030968366,413.7288086414337,11775000,0.0027126966,8.57202528017573
1.4501158,0.046639998,4.2949114,0.7128001749515533,118000,209.37,472,41872,-0.0013437455,0.022967909,414.6615078449249,11800000,0.0041875564,8.174435186568008
0.5534723,0.025208,4.2943125,0.8687341660261154,118250,236.9,473,50744,-0.0013059723,0.03474206,415.70648527145386,11825000,0.0028990393,9.161549308532848
0.4298059,0.020704,4.2936163,0.9023004025220871,118500,228.6,474,53848,-0.0013226843,0.028026726,416.5949583053589,11850000,0.0026174102,8.265622150686104
0.3804441,0.035184,4.2916713,0.8952868729829788,118750,237.6,475,55373,-0.0014217342,0.03225694,417.46354365348816,11875000,0.0034201767,8.844580537797883
