total_timesteps,serial_timesteps,value_loss,time_elapsed,true_reward,explained_variance,ep_len_mean,fps,n_updates,approxkl,policy_loss,clipfrac,ep_reward_mean,policy_entropy
2550000,25500,0.0968145,97.80011034011841,0.054098614,0.9124058559536934,32.63,54869,102,0.0030008252,-0.0017427097,0.026139999,1.3890262696288573,4.913372
2575000,25750,0.094313584,98.69364881515503,0.0549611,0.9146512746810913,28.31,42431,103,0.0042138426,-0.0021082442,0.045500003,1.0567960436239627,4.905308
2600000,26000,0.08831173,99.88979125022888,0.058097597,0.9149992913007736,29.64,46081,104,0.0033504937,-0.0016580271,0.032828,1.1735379089744584,4.8975344
2625000,26250,0.090516895,100.87097930908203,0.059185073,0.9105761051177979,32.15,55067,105,0.0029713432,-0.0018300045,0.023912001,1.3518745366522262,4.8926954
2650000,26500,0.07547498,101.80833172798157,0.057507485,0.927586555480957,32.94,55999,106,0.004007602,-0.00186987,0.039607998,1.495577938544593,4.888429
2675000,26750,0.0926885,102.66448187828064,0.06072388,0.9134664013981819,33.44,57033,107,0.0029617394,-0.0018384457,0.025272,1.563930921156134,4.8836775
2700000,27000,0.10143243,103.5151789188385,0.057286497,0.9097289219498634,27.89,56553,108,0.0034100984,-0.0018777013,0.032696,1.2491315242749261,4.878476
2725000,27250,0.10183519,104.38042998313904,0.05530583,0.9045936837792397,34.23,56653,109,0.0026749298,-0.001749947,0.021976,1.5268787671215431,4.871359
2750000,27500,0.09109087,105.2349624633789,0.05767439,0.9127550721168518,31.89,54654,110,0.0025971376,-0.0015364512,0.020111999,1.1289009440760855,4.8636823
2775000,27750,0.09959805,106.10463690757751,0.05599289,0.9070763066411018,30.78,56459,111,0.0029339925,-0.0015929409,0.024188,1.2902223161445363,4.857466
2800000,28000,0.0951921,106.95756363868713,0.0591979,0.9133464694023132,31.54,55279,112,0.0031383298,-0.0020417005,0.028304001,1.2441020317841502,4.852067
2825000,28250,0.09431402,107.82830834388733,0.057909794,0.9185010194778442,35.55,55587,113,0.0032338526,-0.0019088183,0.031671997,1.5489982239062234,4.848041
2850000,28500,0.102107726,108.68661737442017,0.0567247,0.9065354466438293,34.25,56482,114,0.0037086704,-0.0022649914,0.036996,1.355314730621758,4.845842
2875000,28750,0.08471273,109.54671144485474,0.05780402,0.9184956476092339,32.55,54772,115,0.0034920056,-0.001981407,0.032479998,1.4710386727110745,4.839892
2900000,29000,0.079243705,110.4175033569336,0.057310034,0.9232031628489494,34.0,53687,116,0.0037312773,-0.0020183553,0.038443998,1.3631979986099758,4.8327856
2925000,29250,0.10114814,111.30203557014465,0.05884434,0.9060903340578079,31.84,56488,117,0.004909859,-0.0023789033,0.056808002,1.3993125651093397,4.824803
2950000,29500,0.07859725,112.15220189094543,0.059666365,0.9236966967582703,32.46,54120,118,0.004118464,-0.0024227411,0.041628003,1.2170313610855557,4.8157415
2975000,29750,0.103881195,113.05005764961243,0.05677569,0.9034140855073929,29.71,56459,119,0.0048800358,-0.0016408656,0.056160003,1.1161834019780235,4.8059998
3000000,30000,0.10022791,113.90773105621338,0.059216563,0.9007901549339294,31.68,55761,120,0.0043116054,-0.0019942753,0.046952,1.1224327896381237,4.798581
3025000,30250,0.09820739,114.77685928344727,0.05843046,0.9133115038275719,30.83,55678,121,0.003237363,-0.00213517,0.028316,1.1147124010055085,4.7947373
3050000,30500,0.10888754,115.63793730735779,0.057613704,0.9041532129049301,32.12,56437,122,0.003341958,-0.0024243584,0.031167999,1.3231907110272665,4.7891493
3075000,30750,0.10384272,116.49226951599121,0.061186835,0.908059686422348,32.65,55102,123,0.0033220868,-0.0017251882,0.029683998,1.386762983242006,4.7830596
3100000,31000,0.100304745,117.35192680358887,0.059864305,0.9097065776586533,33.12,56803,124,0.004520926,-0.0022571709,0.05174,1.5965739578373177,4.782199
3125000,31250,0.08387288,118.20026230812073,0.061684698,0.9178258255124092,31.23,56246,125,0.0033684417,-0.0020645126,0.033392,1.2301415620423426,4.7822814
3150000,31500,0.090765476,119.08443760871887,0.060165416,0.9198177456855774,34.42,55202,126,0.0034624308,-0.0020605638,0.034980003,1.5507824398142476,4.7773266
